Lugar,Magnitud,Profundidad_km,Latitud,Longitud,Alerta,Tsunami,Anio,Mes,Dia,Hora,lat_grid,lon_grid,cuadrante,Fecha
"17 km ENE of Sidi Akkacha, Algeria",5.0,9.304,36.5002,1.4923,0,0,2024,12,16,0,36,1,"36,1",2024-12-16
"27 km NE of Arhribs, Algeria",4.5,10.0,36.9912,4.4918,0,0,2024,10,10,13,36,4,"36,4",2024-10-10
"56 km W of Sines, Portugal",5.0,6.586,38.0222,-9.5047,1,0,2024,8,26,4,38,-10,"38,-10",2024-08-26
"49 km NE of Al Hoceïma, Morocco",4.3,10.0,35.5311,-3.5066,0,0,2024,5,27,0,35,-4,"35,-4",2024-05-27
"23 km N of Mascara, Algeria",4.6,10.0,35.6066,0.1094,0,0,2024,2,14,13,35,0,"35,0",2024-02-14
"4 km NNW of Igüeña, Spain",4.0,10.0,42.7665,-6.2979,0,0,2023,9,30,12,42,-7,"42,-7",2023-09-30
"11 km W of Espot, Spain",4.6,10.018,42.5778,0.9428,0,0,2023,8,28,17,42,0,"42,0",2023-08-28
"11 km SSW of La Barthe-de-Neste, France",4.0,10.0,42.979,0.3442,0,0,2023,4,17,13,42,0,"42,0",2023-04-17
"1 km SSE of Turre, Spain",4.2,9.693,37.1379,-1.8845,0,0,2022,12,31,7,37,-2,"37,-2",2022-12-31
northern Algeria,4.0,10.0,36.4851,3.0791,0,0,2022,12,7,8,36,3,"36,3",2022-12-07
"52 km NE of Al Hoceïma, Morocco",4.4,10.0,35.5367,-3.4806,0,0,2022,11,30,11,35,-4,"35,-4",2022-11-30
"24 km WNW of Dellys, Algeria",4.1,10.0,37.0304,3.682,0,0,2022,11,20,11,37,3,"37,3",2022-11-20
"24 km NE of Berrouaghia, Algeria",4.8,10.0,36.3127,3.0727,0,0,2022,11,12,13,36,3,"36,3",2022-11-12
"54 km NE of Al Hoceïma, Morocco",4.0,10.0,35.5593,-3.4635,0,0,2022,10,4,15,35,-4,"35,-4",2022-10-04
"124 km SSE of Sagres, Portugal",4.1,38.552,35.9373,-8.5367,0,0,2022,8,14,20,35,-9,"35,-9",2022-08-14
Strait of Gibraltar,4.2,10.0,35.5502,-3.6409,0,0,2022,8,10,18,35,-4,"35,-4",2022-08-10
"60 km NNW of Mostaganem, Algeria",4.4,10.0,36.4458,-0.1336,0,0,2022,7,16,3,36,-1,"36,-1",2022-07-16
"14 km NW of Aïn el Bya, Algeria",4.6,10.0,35.913,-0.3922,0,0,2022,6,26,19,35,-1,"35,-1",2022-06-26
"58 km NE of Al Hoceïma, Morocco",4.5,10.0,35.6277,-3.4835,0,0,2022,6,2,12,35,-4,"35,-4",2022-06-02
Strait of Gibraltar,5.5,10.0,35.5176,-3.4789,1,0,2022,5,20,12,35,-4,"35,-4",2022-05-20
"30 km NNE of Al Hoceïma, Morocco",4.3,10.0,35.5087,-3.8224,0,0,2022,4,9,3,35,-4,"35,-4",2022-04-09
"37 km NE of Al Hoceïma, Morocco",4.3,11.69,35.5086,-3.6711,0,0,2022,4,7,7,35,-4,"35,-4",2022-04-07
"16 km ENE of Berrouaghia, Algeria",4.1,10.0,36.1905,3.0865,0,0,2022,3,18,4,36,3,"36,3",2022-03-18
